timestamp_utc,hour_number,quantity_sum,temperature_2m (°C),direct_normal_irradiance (W/m²),shortwave_radiation (W/m²),global_tilted_irradiance (W/m²),wind_speed_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),relative_humidity_2m (%),precipitation (mm)
2024-09-01T00:00:00Z,1,0.0,22.4,0.0,0.0,0.0,6.5,99,5,8,99,57,0.0
2024-09-01T01:00:00Z,2,0.0,21.1,0.0,0.0,0.0,7.9,23,2,7,17,63,0.0
2024-09-01T02:00:00Z,3,0.0,20.2,0.0,0.0,0.0,8.0,95,7,7,95,69,0.0
2024-09-01T03:00:00Z,4,0.0,19.7,0.0,0.0,0.0,8.1,35,9,4,28,72,0.0
2024-09-01T04:00:00Z,5,0.0,18.9,0.0,0.0,0.0,7.8,2,0,0,2,76,0.0
2024-09-01T05:00:00Z,6,0.0,18.2,0.0,0.0,0.0,7.6,0,0,0,0,79,0.0
2024-09-01T06:00:00Z,7,5.9,17.6,0.0,0.0,0.0,7.6,0,0,0,0,82,0.0
2024-09-01T07:00:00Z,8,25.3,18.2,230.7,61.0,61.0,5.8,9,0,0,9,79,0.0
2024-09-01T08:00:00Z,9,45.3,19.9,547.4,234.0,234.0,4.5,15,0,0,15,71,0.0
2024-09-01T09:00:00Z,10,62.7,22.0,703.2,429.0,429.0,3.9,32,0,0,32,61,0.0
2024-09-01T10:00:00Z,11,75.2,24.5,787.5,605.0,605.0,4.3,42,0,0,42,50,0.0
2024-09-01T11:00:00Z,12,82.6,26.7,835.5,743.0,743.0,5.8,42,0,0,42,39,0.0
2024-09-01T12:00:00Z,13,83.7,28.4,861.7,828.0,828.0,6.6,6,0,0,6,32,0.0
2024-09-01T13:00:00Z,14,80.6,29.3,865.6,852.0,852.0,6.6,19,0,0,19,29,0.0
2024-09-01T14:00:00Z,15,71.6,30.2,853.7,816.0,816.0,5.8,52,0,0,52,25,0.0
2024-09-01T15:00:00Z,16,57.8,30.6,829.9,724.0,724.0,6.8,0,0,0,0,23,0.0
2024-09-01T16:00:00Z,17,39.5,30.8,786.8,582.0,582.0,9.0,9,0,0,9,23,0.0
2024-09-01T17:00:00Z,18,18.5,30.2,697.4,402.0,402.0,9.7,0,0,0,0,25,0.0
2024-09-01T18:00:00Z,19,3.0,29.4,531.8,205.0,205.0,5.5,0,0,0,0,29,0.0
2024-09-01T19:00:00Z,20,0.0,26.4,164.3,41.0,41.0,5.6,0,0,0,0,52,0.0
2024-09-01T20:00:00Z,21,0.0,26.2,0.0,0.0,0.0,9.0,0,0,0,0,37,0.0
2024-09-01T21:00:00Z,22,0.0,24.8,0.0,0.0,0.0,15.0,0,0,0,0,46,0.0
2024-09-01T22:00:00Z,23,0.0,23.2,0.0,0.0,0.0,13.9,0,0,0,0,53,0.0
2024-09-01T23:00:00Z,24,0.0,22.5,0.0,0.0,0.0,12.7,0,0,0,0,55,0.0
2024-09-02T00:00:00Z,25,0.0,21.5,0.0,0.0,0.0,11.5,0,0,0,0,58,0.0
2024-09-02T01:00:00Z,26,0.0,20.6,0.0,0.0,0.0,9.4,0,0,0,0,63,0.0
2024-09-02T02:00:00Z,27,0.0,20.0,0.0,0.0,0.0,8.3,0,0,0,0,65,0.0
2024-09-02T03:00:00Z,28,0.0,19.4,0.0,0.0,0.0,8.2,0,0,0,0,66,0.0
2024-09-02T04:00:00Z,29,0.0,18.8,0.0,0.0,0.0,7.1,0,0,0,0,68,0.0
2024-09-02T05:00:00Z,30,0.0,18.1,0.0,0.0,0.0,8.5,0,0,0,0,68,0.0
2024-09-02T06:00:00Z,31,4.8,17.9,0.0,0.0,0.0,8.9,0,0,0,0,67,0.0
2024-09-02T07:00:00Z,32,22.5,18.9,233.1,59.0,59.0,8.0,0,0,0,0,63,0.0
2024-09-02T08:00:00Z,33,44.2,21.2,552.5,232.0,232.0,6.6,4,0,0,4,55,0.0
2024-09-02T09:00:00Z,34,55.3,23.9,698.9,425.0,425.0,5.6,5,0,0,5,48,0.0
2024-09-02T10:00:00Z,35,69.9,26.4,781.6,599.0,599.0,4.6,23,0,0,23,42,0.0
2024-09-02T11:00:00Z,36,82.3,28.5,818.9,730.0,730.0,5.9,1,0,0,1,36,0.0
2024-09-02T12:00:00Z,37,85.7,30.0,843.2,812.0,812.0,9.3,0,0,0,0,33,0.0
2024-09-02T13:00:00Z,38,81.8,30.8,846.7,837.0,837.0,8.7,7,0,0,7,30,0.0
2024-09-02T14:00:00Z,39,73.4,31.5,845.3,805.0,805.0,9.2,20,0,0,20,29,0.0
2024-09-02T15:00:00Z,40,59.1,31.8,811.4,712.0,712.0,10.2,63,0,0,63,28,0.0
2024-09-02T16:00:00Z,41,28.5,31.7,726.9,564.0,564.0,13.0,83,0,1,83,28,0.0
2024-09-02T17:00:00Z,42,21.7,31.0,602.4,380.0,380.0,14.6,93,0,12,92,30,0.0
2024-09-02T18:00:00Z,43,4.0,29.0,280.4,168.0,168.0,15.6,97,0,5,97,37,0.0
2024-09-02T19:00:00Z,44,0.0,26.1,67.1,33.0,33.0,15.6,83,0,0,83,46,0.0
2024-09-02T20:00:00Z,45,0.0,24.1,0.0,0.0,0.0,14.8,0,0,0,0,56,0.0
2024-09-02T21:00:00Z,46,0.0,22.8,0.0,0.0,0.0,13.3,0,0,0,0,63,0.0
2024-09-02T22:00:00Z,47,0.0,21.5,0.0,0.0,0.0,11.5,0,0,0,0,68,0.0
2024-09-02T23:00:00Z,48,0.0,20.2,0.0,0.0,0.0,10.9,0,0,0,0,73,0.0
2024-09-03T00:00:00Z,49,0.0,19.2,0.0,0.0,0.0,10.1,0,0,0,0,76,0.0
2024-09-03T01:00:00Z,50,0.0,18.6,0.0,0.0,0.0,10.0,14,0,0,14,78,0.0
2024-09-03T02:00:00Z,51,0.0,18.0,0.0,0.0,0.0,9.9,5,0,0,5,80,0.0
2024-09-03T03:00:00Z,52,0.0,17.1,0.0,0.0,0.0,9.7,0,0,0,0,84,0.0
2024-09-03T04:00:00Z,53,0.0,16.1,0.0,0.0,0.0,9.2,0,0,0,0,87,0.0
2024-09-03T05:00:00Z,54,0.0,15.1,0.0,0.0,0.0,8.9,0,0,0,0,90,0.0
2024-09-03T06:00:00Z,55,5.6,14.4,0.0,0.0,0.0,7.6,0,0,0,0,92,0.0
2024-09-03T07:00:00Z,56,26.4,15.1,235.5,60.0,60.0,5.1,0,0,0,0,87,0.0
2024-09-03T08:00:00Z,57,47.6,17.4,574.7,239.0,239.0,4.1,3,0,0,3,75,0.0
2024-09-03T09:00:00Z,58,63.7,20.0,730.2,439.0,439.0,2.6,8,0,0,8,66,0.0
2024-09-03T10:00:00Z,59,78.7,22.5,818.2,619.0,619.0,2.2,97,0,0,97,56,0.0
2024-09-03T11:00:00Z,60,86.5,24.5,836.8,752.0,752.0,3.5,93,0,0,93,43,0.0
2024-09-03T12:00:00Z,61,88.4,26.1,831.9,828.0,828.0,4.4,95,0,0,95,35,0.0
2024-09-03T13:00:00Z,62,79.4,26.6,880.9,866.0,866.0,3.8,43,0,0,43,35,0.0
2024-09-03T14:00:00Z,63,75.2,27.6,855.4,825.0,825.0,4.3,85,0,0,85,29,0.0
2024-09-03T15:00:00Z,64,60.4,28.1,780.4,716.0,716.0,4.4,55,0,0,55,28,0.0
2024-09-03T16:00:00Z,65,40.7,28.2,753.7,575.0,575.0,4.5,4,0,0,4,29,0.0
2024-09-03T17:00:00Z,66,18.6,28.2,687.4,396.0,396.0,4.7,0,0,0,0,28,0.0
2024-09-03T18:00:00Z,67,2.8,27.5,540.6,202.0,202.0,5.9,0,0,0,0,22,0.0
2024-09-03T19:00:00Z,68,0.0,26.4,162.9,37.0,37.0,5.8,0,0,0,0,22,0.0
2024-09-03T20:00:00Z,69,0.0,24.0,0.0,0.0,0.0,4.0,0,0,0,0,31,0.0
2024-09-03T21:00:00Z,70,0.0,22.9,0.0,0.0,0.0,8.7,0,0,0,0,40,0.0
2024-09-03T22:00:00Z,71,0.0,22.7,0.0,0.0,0.0,8.4,0,0,0,0,44,0.0
2024-09-03T23:00:00Z,72,0.0,21.4,0.0,0.0,0.0,8.4,0,0,0,0,48,0.0
2024-09-04T00:00:00Z,73,0.0,20.9,0.0,0.0,0.0,7.1,0,0,0,0,55,0.0
2024-09-04T01:00:00Z,74,0.0,20.5,0.0,0.0,0.0,11.1,0,0,0,0,63,0.0
2024-09-04T02:00:00Z,75,0.0,20.2,0.0,0.0,0.0,12.8,0,0,0,0,67,0.0
2024-09-04T03:00:00Z,76,0.0,19.9,0.0,0.0,0.0,12.7,0,0,0,0,68,0.0
2024-09-04T04:00:00Z,77,0.0,19.2,0.0,0.0,0.0,11.8,0,0,0,0,70,0.0
2024-09-04T05:00:00Z,78,0.0,18.7,0.0,0.0,0.0,11.8,0,0,0,0,72,0.0
2024-09-04T06:00:00Z,79,4.6,18.1,0.0,0.0,0.0,12.1,0,0,0,0,75,0.0
2024-09-04T07:00:00Z,80,22.7,18.9,223.2,56.0,56.0,10.6,0,0,0,0,71,0.0
2024-09-04T08:00:00Z,81,44.4,21.3,559.8,231.0,231.0,10.6,0,0,0,0,59,0.0
2024-09-04T09:00:00Z,82,61.6,23.7,715.5,427.0,427.0,10.9,0,0,0,0,54,0.0
2024-09-04T10:00:00Z,83,76.0,25.9,795.0,601.0,601.0,10.8,0,0,0,0,50,0.0
2024-09-04T11:00:00Z,84,84.3,27.5,840.1,737.0,737.0,8.8,0,0,0,0,44,0.0
2024-09-04T12:00:00Z,85,86.8,28.6,864.4,821.0,821.0,8.8,0,0,0,0,38,0.0
2024-09-04T13:00:00Z,86,83.8,29.8,881.0,854.0,854.0,12.5,0,0,0,0,25,0.0
