timestamp_utc,hour_number,quantity_sum,temperature_2m (°C),wind_speed_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),relative_humidity_2m (%),precipitation (mm),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²)
2025-01-01T00:00:00Z,1,0.0,6.6,7.0,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-01T01:00:00Z,2,0.0,6.5,8.3,0,0,0,0,86,0.0,0.0,0.0,0.0
2025-01-01T02:00:00Z,3,0.0,6.6,9.1,0,0,0,0,87,0.0,0.0,0.0,0.0
2025-01-01T03:00:00Z,4,0.0,6.4,9.9,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-01T04:00:00Z,5,0.0,6.2,11.2,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-01T05:00:00Z,6,0.0,6.0,11.5,0,0,0,0,87,0.0,0.0,0.0,0.0
2025-01-01T06:00:00Z,7,0.0,5.8,11.8,0,0,0,0,87,0.0,0.0,0.0,0.0
2025-01-01T07:00:00Z,8,0.4,5.5,13.2,0,0,0,0,87,0.0,0.0,0.0,0.0
2025-01-01T08:00:00Z,9,15.6,5.4,12.9,0,0,0,0,87,0.0,4.0,16.0,4.0
2025-01-01T09:00:00Z,10,45.2,6.8,13.7,0,0,0,0,84,0.0,99.0,417.4,99.0
2025-01-01T10:00:00Z,11,86.8,8.8,10.6,0,0,0,0,79,0.0,252.0,664.6,252.0
2025-01-01T11:00:00Z,12,104.0,11.1,10.7,0,0,0,0,73,0.0,382.0,770.0,382.0
2025-01-01T12:00:00Z,13,107.2,12.9,10.7,0,0,0,0,66,0.0,466.0,822.2,466.0
2025-01-01T13:00:00Z,14,100.8,14.4,10.7,0,0,0,0,61,0.0,494.0,837.2,494.0
2025-01-01T14:00:00Z,15,81.6,14.8,10.9,0,0,0,0,58,0.0,462.0,821.6,462.0
2025-01-01T15:00:00Z,16,39.2,14.9,9.3,0,0,0,0,57,0.0,374.0,772.1,374.0
2025-01-01T16:00:00Z,17,12.4,14.4,8.1,0,0,0,0,62,0.0,239.0,654.7,239.0
2025-01-01T17:00:00Z,18,0.4,12.6,8.5,0,0,0,0,69,0.0,85.0,374.7,85.0
2025-01-01T18:00:00Z,19,0.0,10.9,8.6,0,0,0,0,73,0.0,2.0,0.0,2.0
2025-01-01T19:00:00Z,20,0.0,9.9,7.4,0,0,0,0,75,0.0,0.0,0.0,0.0
2025-01-01T20:00:00Z,21,0.0,9.1,7.6,0,0,0,0,77,0.0,0.0,0.0,0.0
2025-01-01T21:00:00Z,22,0.0,8.4,7.1,0,0,0,0,81,0.0,0.0,0.0,0.0
2025-01-01T22:00:00Z,23,0.0,7.8,7.4,0,0,0,0,82,0.0,0.0,0.0,0.0
2025-01-01T23:00:00Z,24,0.0,6.8,5.6,0,0,0,0,86,0.0,0.0,0.0,0.0
2025-01-02T00:00:00Z,25,0.0,6.1,6.1,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-02T01:00:00Z,26,0.0,5.1,5.5,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-02T02:00:00Z,27,0.0,4.9,7.2,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-02T03:00:00Z,28,0.0,4.9,7.6,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-02T04:00:00Z,29,0.0,4.8,6.9,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-02T05:00:00Z,30,0.0,4.8,9.2,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-02T06:00:00Z,31,0.0,4.7,9.1,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-02T07:00:00Z,32,0.4,4.5,9.4,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-02T08:00:00Z,33,16.0,4.6,10.3,0,0,0,0,89,0.0,4.0,16.1,4.0
2025-01-02T09:00:00Z,34,46.8,6.1,10.9,0,0,0,0,86,0.0,100.0,438.0,100.0
2025-01-02T10:00:00Z,35,88.4,8.2,8.4,0,0,0,0,80,0.0,256.0,681.7,256.0
2025-01-02T11:00:00Z,36,105.2,10.8,8.1,0,0,0,0,74,0.0,388.0,786.5,388.0
2025-01-02T12:00:00Z,37,108.8,12.9,7.5,0,0,0,0,67,0.0,473.0,837.4,473.0
2025-01-02T13:00:00Z,38,102.4,14.4,6.4,0,0,0,0,63,0.0,501.0,851.1,501.0
2025-01-02T14:00:00Z,39,84.4,15.3,5.2,0,0,0,0,59,0.0,469.0,835.7,469.0
2025-01-02T15:00:00Z,40,44.4,15.6,4.5,0,0,0,0,58,0.0,380.0,785.8,380.0
2025-01-02T16:00:00Z,41,13.2,15.4,3.2,0,0,0,0,63,0.0,244.0,671.0,244.0
2025-01-02T17:00:00Z,42,0.4,12.8,5.4,0,0,0,0,74,0.0,89.0,399.9,89.0
2025-01-02T18:00:00Z,43,0.0,10.7,6.8,0,0,0,0,77,0.0,2.0,0.0,2.0
2025-01-02T19:00:00Z,44,0.0,9.7,6.5,0,0,0,0,76,0.0,0.0,0.0,0.0
2025-01-02T20:00:00Z,45,0.0,8.9,5.5,14,0,0,14,77,0.0,0.0,0.0,0.0
2025-01-02T21:00:00Z,46,0.0,8.2,5.8,3,0,0,3,80,0.0,0.0,0.0,0.0
2025-01-02T22:00:00Z,47,0.0,7.6,6.7,21,0,0,21,82,0.0,0.0,0.0,0.0
2025-01-02T23:00:00Z,48,0.0,6.7,6.0,9,0,0,9,86,0.0,0.0,0.0,0.0
2025-01-03T00:00:00Z,49,0.0,6.1,6.6,11,0,0,11,86,0.0,0.0,0.0,0.0
2025-01-03T01:00:00Z,50,0.0,5.3,6.5,0,0,0,0,85,0.0,0.0,0.0,0.0
2025-01-03T02:00:00Z,51,0.0,4.9,7.9,39,0,0,39,86,0.0,0.0,0.0,0.0
2025-01-03T03:00:00Z,52,0.0,4.8,8.2,77,0,0,77,86,0.0,0.0,0.0,0.0
2025-01-03T04:00:00Z,53,0.0,4.8,8.3,94,0,0,94,86,0.0,0.0,0.0,0.0
2025-01-03T05:00:00Z,54,0.0,4.6,8.6,100,0,0,100,86,0.0,0.0,0.0,0.0
2025-01-03T06:00:00Z,55,0.0,4.4,7.6,100,0,0,100,87,0.0,0.0,0.0,0.0
2025-01-03T07:00:00Z,56,0.4,4.1,7.1,96,0,0,96,88,0.0,0.0,0.0,0.0
2025-01-03T08:00:00Z,57,18.0,4.1,8.6,100,0,4,100,88,0.0,4.0,16.1,4.0
2025-01-03T09:00:00Z,58,38.8,5.7,9.9,100,0,0,100,83,0.0,87.0,219.0,87.0
2025-01-03T10:00:00Z,59,73.2,7.7,6.9,100,0,0,100,80,0.0,210.0,317.8,210.0
2025-01-03T11:00:00Z,60,94.0,9.9,6.8,100,0,0,100,74,0.0,344.0,498.5,344.0
2025-01-03T12:00:00Z,61,106.0,12.0,6.0,100,0,0,100,68,0.0,417.0,522.5,417.0
2025-01-03T13:00:00Z,62,103.2,13.4,5.4,100,0,0,100,65,0.0,434.0,497.9,434.0
2025-01-03T14:00:00Z,63,66.0,14.4,3.9,100,0,6,100,62,0.0,393.0,434.3,393.0
2025-01-03T15:00:00Z,64,37.6,14.8,1.8,97,0,11,96,61,0.0,335.0,485.6,335.0
2025-01-03T16:00:00Z,65,10.8,14.6,0.5,100,0,2,100,61,0.0,219.0,445.9,219.0
2025-01-03T17:00:00Z,66,0.4,12.7,0.6,65,0,0,65,73,0.0,79.0,233.6,79.0
2025-01-03T18:00:00Z,67,0.0,11.1,1.1,46,0,5,46,77,0.0,2.0,0.0,2.0
2025-01-03T19:00:00Z,68,0.0,9.9,1.3,100,0,20,100,81,0.0,0.0,0.0,0.0
2025-01-03T20:00:00Z,69,0.0,9.2,0.9,0,0,0,0,83,0.0,0.0,0.0,0.0
2025-01-03T21:00:00Z,70,0.0,8.1,1.2,0,0,0,0,86,0.0,0.0,0.0,0.0
2025-01-03T22:00:00Z,71,0.0,7.3,1.9,10,0,0,10,87,0.0,0.0,0.0,0.0
2025-01-03T23:00:00Z,72,0.0,6.8,2.8,15,0,3,14,88,0.0,0.0,0.0,0.0
2025-01-04T00:00:00Z,73,0.0,6.2,2.4,11,0,11,0,89,0.0,0.0,0.0,0.0
2025-01-04T01:00:00Z,74,0.0,5.6,2.0,3,0,3,0,90,0.0,0.0,0.0,0.0
2025-01-04T02:00:00Z,75,0.0,4.6,2.5,0,0,0,0,93,0.0,0.0,0.0,0.0
2025-01-04T03:00:00Z,76,0.0,3.8,5.0,9,0,0,9,96,0.0,0.0,0.0,0.0
2025-01-04T04:00:00Z,77,0.0,3.4,5.2,13,0,0,13,97,0.0,0.0,0.0,0.0
2025-01-04T05:00:00Z,78,0.0,3.2,5.6,8,0,1,7,96,0.0,0.0,0.0,0.0
2025-01-04T06:00:00Z,79,0.0,3.1,5.8,23,0,16,8,95,0.0,0.0,0.0,0.0
2025-01-04T07:00:00Z,80,0.4,3.5,6.3,64,0,25,52,94,0.0,0.0,0.0,0.0
2025-01-04T08:00:00Z,81,9.6,3.8,5.8,100,0,92,99,93,0.0,3.0,16.1,3.0
2025-01-04T09:00:00Z,82,40.0,5.6,8.2,98,0,76,97,89,0.0,43.0,6.8,43.0
2025-01-04T10:00:00Z,83,67.6,7.5,6.6,100,2,98,96,87,0.0,144.0,94.2,144.0
2025-01-04T11:00:00Z,84,71.6,10.1,3.9,99,26,18,99,81,0.0,306.0,390.6,306.0
2025-01-04T12:00:00Z,85,61.6,12.3,3.2,100,24,46,100,73,0.0,416.0,569.7,416.0
2025-01-04T13:00:00Z,86,63.6,13.1,2.9,100,21,9,100,71,0.0,351.0,213.0,351.0
2025-01-04T14:00:00Z,87,46.0,13.8,2.7,100,23,14,100,69,0.0,333.0,322.3,333.0
2025-01-04T15:00:00Z,88,20.4,14.1,2.7,100,36,40,100,70,0.0,264.0,276.7,264.0
2025-01-04T16:00:00Z,89,10.8,13.9,4.8,100,34,22,100,73,0.0,173.0,267.4,173.0
2025-01-04T17:00:00Z,90,0.0,12.6,5.5,100,27,43,100,79,0.0,71.0,210.4,71.0
2025-01-04T18:00:00Z,91,0.0,11.5,5.6,100,34,39,100,81,0.0,2.0,0.0,2.0
2025-01-04T19:00:00Z,92,0.0,11.0,5.8,100,8,5,100,82,0.0,0.0,0.0,0.0
2025-01-04T20:00:00Z,93,0.0,9.9,7.0,90,34,24,80,86,0.0,0.0,0.0,0.0
2025-01-04T21:00:00Z,94,0.0,9.6,5.9,91,49,47,70,88,0.0,0.0,0.0,0.0
2025-01-04T22:00:00Z,95,0.0,9.7,4.5,100,83,29,100,89,0.1,0.0,0.0,0.0
2025-01-04T23:00:00Z,96,0.0,9.6,3.6,100,37,38,100,91,0.6,0.0,0.0,0.0
2025-01-05T00:00:00Z,97,0.0,10.0,2.6,100,27,24,100,93,0.4,0.0,0.0,0.0
2025-01-05T01:00:00Z,98,0.0,10.4,5.3,100,86,10,100,97,0.1,0.0,0.0,0.0
2025-01-05T02:00:00Z,99,0.0,10.9,8.6,100,32,29,100,96,0.3,0.0,0.0,0.0
2025-01-05T03:00:00Z,100,0.0,11.1,10.1,100,25,8,100,96,0.1,0.0,0.0,0.0
2025-01-05T04:00:00Z,101,0.0,11.1,8.3,99,17,15,99,96,0.0,0.0,0.0,0.0
2025-01-05T05:00:00Z,102,0.0,10.5,8.4,100,3,3,100,96,0.0,0.0,0.0,0.0
2025-01-05T06:00:00Z,103,0.0,10.4,8.8,100,0,6,100,96,0.0,0.0,0.0,0.0
2025-01-05T07:00:00Z,104,0.4,10.5,8.9,99,1,75,99,95,0.0,0.0,0.0,0.0
2025-01-05T08:00:00Z,105,15.2,10.8,10.4,100,0,56,100,93,0.0,2.0,0.0,2.0
2025-01-05T09:00:00Z,106,34.4,11.6,15.2,100,0,34,100,90,0.2,49.0,27.3,49.0
2025-01-05T10:00:00Z,107,71.6,13.1,16.2,100,17,45,100,80,0.0,165.0,170.6,165.0
2025-01-05T11:00:00Z,108,79.6,15.1,12.6,99,4,14,99,73,0.0,312.0,384.8,312.0
2025-01-05T12:00:00Z,109,57.6,16.9,17.9,99,4,25,99,59,0.0,393.0,471.4,393.0
2025-01-05T13:00:00Z,110,33.2,16.6,18.8,100,1,73,100,56,0.0,238.0,106.1,238.0
2025-01-05T14:00:00Z,111,12.0,17.2,20.8,100,9,77,100,56,0.0,302.0,301.9,302.0
2025-01-05T15:00:00Z,112,4.0,16.7,24.4,100,49,100,100,61,0.0,187.0,172.6,187.0
2025-01-05T16:00:00Z,113,1.2,14.2,21.2,100,100,100,98,84,1.1,56.0,0.0,56.0
