timestamp_utc,hour_number,quantity_sum,temperature_2m (°C),wind_speed_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),relative_humidity_2m (%),precipitation (mm),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²)
2025-01-01T00:00:00Z,1,0.0,5.3,17.0,0,0,0,0,87,0.0,0.0,0.0,0.0
2025-01-01T01:00:00Z,2,0.0,5.3,15.8,0,0,0,0,87,0.0,0.0,0.0,0.0
2025-01-01T02:00:00Z,3,0.0,5.1,15.4,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-01T03:00:00Z,4,0.0,4.8,15.9,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-01T04:00:00Z,5,0.0,4.6,16.2,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-01T05:00:00Z,6,0.0,4.2,16.7,0,0,0,0,91,0.0,0.0,0.0,0.0
2025-01-01T06:00:00Z,7,0.0,3.8,16.4,0,0,0,0,93,0.0,0.0,0.0,0.0
2025-01-01T07:00:00Z,8,0.0,3.2,17.1,2,2,0,0,97,0.0,0.0,0.0,0.0
2025-01-01T08:00:00Z,9,30.0,3.0,18.7,51,51,0,0,98,0.0,1.0,0.0,1.0
2025-01-01T09:00:00Z,10,106.0,4.2,19.3,99,99,0,0,95,0.0,69.0,292.7,69.0
2025-01-01T10:00:00Z,11,138.8,5.4,19.1,53,53,0,0,92,0.0,177.0,364.2,177.0
2025-01-01T11:00:00Z,12,125.2,7.2,19.4,18,18,0,0,84,0.0,312.0,576.9,312.0
2025-01-01T12:00:00Z,13,114.8,8.8,17.2,16,16,0,0,79,0.0,412.0,738.0,412.0
2025-01-01T13:00:00Z,14,120.4,9.8,16.6,6,6,0,0,75,0.0,448.0,799.1,448.0
2025-01-01T14:00:00Z,15,114.8,10.4,14.9,5,5,0,0,72,0.0,426.0,822.2,426.0
2025-01-01T15:00:00Z,16,97.6,10.4,13.6,3,3,0,0,73,0.0,341.0,765.7,341.0
2025-01-01T16:00:00Z,17,26.0,9.9,11.6,1,1,0,0,75,0.0,211.0,630.1,211.0
2025-01-01T17:00:00Z,18,0.0,8.1,10.3,0,0,0,0,84,0.0,70.0,346.7,70.0
2025-01-01T18:00:00Z,19,0.0,6.7,11.7,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-01T19:00:00Z,20,0.0,6.3,13.8,0,0,0,0,89,0.0,0.0,0.0,0.0
2025-01-01T20:00:00Z,21,0.0,6.1,12.1,0,0,0,0,88,0.0,0.0,0.0,0.0
2025-01-01T21:00:00Z,22,0.0,5.5,13.0,0,0,0,0,90,0.0,0.0,0.0,0.0
2025-01-01T22:00:00Z,23,0.0,5.2,12.8,19,0,0,19,90,0.0,0.0,0.0,0.0
2025-01-01T23:00:00Z,24,0.0,5.1,14.3,0,0,0,0,90,0.0,0.0,0.0,0.0
2025-01-02T00:00:00Z,25,0.0,4.9,13.1,0,0,0,0,90,0.0,0.0,0.0,0.0
