timestamp_utc,hour_number,quantity_sum,shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),temperature_2m (°C),wind_speed_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),relative_humidity_2m (%),precipitation (mm)
2024-09-01T00:00:00Z,1,0.0,0.0,0.0,0.0,22.5,2.0,12,11,1,0,83,0.0
2024-09-01T01:00:00Z,2,0.0,0.0,0.0,0.0,21.5,2.8,3,0,3,0,87,0.0
2024-09-01T02:00:00Z,3,0.0,0.0,0.0,0.0,20.8,3.9,53,14,4,36,90,0.0
2024-09-01T03:00:00Z,4,0.0,0.0,0.0,0.0,20.4,5.1,43,0,41,5,89,0.0
2024-09-01T04:00:00Z,5,0.0,0.0,0.0,0.0,20.3,4.7,62,0,59,7,89,0.0
2024-09-01T05:00:00Z,6,0.7,0.0,0.0,0.0,20.5,4.4,100,1,51,100,89,0.0
2024-09-01T06:00:00Z,7,31.2,4.0,0.0,4.0,20.8,3.6,95,22,60,84,87,0.0
2024-09-01T07:00:00Z,8,110.2,90.0,192.7,90.0,22.1,3.3,74,33,62,0,83,0.0
2024-09-01T08:00:00Z,9,209.2,241.0,339.4,241.0,23.8,3.5,76,29,63,1,77,0.0
2024-09-01T09:00:00Z,10,287.6,398.0,421.4,398.0,26.0,6.4,78,39,62,10,71,0.0
2024-09-01T10:00:00Z,11,300.9,541.0,437.4,541.0,27.7,10.1,87,43,51,64,59,0.0
2024-09-01T11:00:00Z,12,322.0,660.0,532.5,660.0,29.3,13.4,72,32,60,0,51,0.0
2024-09-01T12:00:00Z,13,346.1,714.0,502.5,714.0,30.1,17.6,55,33,44,0,53,0.0
2024-09-01T13:00:00Z,14,329.5,789.0,640.5,789.0,31.1,17.6,34,30,10,0,50,0.0
2024-09-01T14:00:00Z,15,213.4,715.0,640.0,715.0,31.8,15.8,98,28,10,95,48,0.0
2024-09-01T15:00:00Z,16,32.5,574.0,522.6,574.0,32.5,16.0,54,33,0,33,45,0.0
2024-09-01T16:00:00Z,17,11.0,480.0,573.5,480.0,31.8,17.3,100,34,0,100,47,0.0
2024-09-01T17:00:00Z,18,33.2,241.0,204.8,241.0,30.2,18.3,100,29,30,100,56,0.0
2024-09-01T18:00:00Z,19,7.0,101.0,68.2,101.0,28.2,18.6,100,11,38,100,68,0.0
2024-09-01T19:00:00Z,20,0.0,9.0,0.0,9.0,26.9,16.1,100,0,26,100,74,0.0
2024-09-01T20:00:00Z,21,0.0,0.0,0.0,0.0,26.0,14.0,100,4,37,100,76,0.0
2024-09-01T21:00:00Z,22,0.0,0.0,0.0,0.0,25.3,10.8,92,13,4,84,77,0.0
2024-09-01T22:00:00Z,23,0.0,0.0,0.0,0.0,24.6,8.5,9,0,3,6,79,0.0
2024-09-01T23:00:00Z,24,0.0,0.0,0.0,0.0,24.0,6.9,26,0,14,13,81,0.0
2024-09-02T00:00:00Z,25,0.0,0.0,0.0,0.0,23.5,6.5,36,6,30,0,85,0.0
2024-09-02T01:00:00Z,26,0.0,0.0,0.0,0.0,23.0,4.7,46,26,32,0,90,0.0
2024-09-02T02:00:00Z,27,0.0,0.0,0.0,0.0,22.6,3.3,57,26,44,0,94,0.0
2024-09-02T03:00:00Z,28,0.0,0.0,0.0,0.0,22.4,2.0,71,24,59,0,94,0.0
2024-09-02T04:00:00Z,29,0.0,0.0,0.0,0.0,22.3,1.5,82,28,72,0,96,0.0
2024-09-02T05:00:00Z,30,0.4,0.0,0.0,0.0,22.3,0.5,82,23,72,0,96,0.0
2024-09-02T06:00:00Z,31,28.2,3.0,0.0,3.0,22.3,1.9,84,14,75,0,96,0.0
2024-09-02T07:00:00Z,32,101.4,67.0,94.2,67.0,22.9,3.0,71,2,69,0,93,0.0
2024-09-02T08:00:00Z,33,93.3,195.0,201.3,195.0,24.4,6.2,97,37,66,85,84,0.0
2024-09-02T09:00:00Z,34,99.5,342.0,231.1,342.0,25.6,10.1,100,54,53,100,78,0.0
2024-09-02T10:00:00Z,35,121.1,490.0,360.6,490.0,27.3,12.3,76,47,49,13,66,0.0
2024-09-02T11:00:00Z,36,201.0,542.0,355.4,542.0,28.5,14.3,79,60,52,0,60,0.0
2024-09-02T12:00:00Z,37,254.7,585.0,411.5,585.0,30.6,18.1,70,47,25,20,49,0.0
2024-09-02T13:00:00Z,38,248.7,623.0,432.6,623.0,30.1,21.3,66,51,11,39,51,0.0
2024-09-02T14:00:00Z,39,43.1,537.0,345.6,537.0,29.2,23.1,100,47,0,100,57,0.0
2024-09-02T15:00:00Z,40,139.6,359.0,107.1,359.0,29.8,16.0,100,67,76,100,54,1.0
2024-09-02T16:00:00Z,41,136.5,226.0,68.5,226.0,28.4,12.8,100,42,17,100,61,0.5
2024-09-02T17:00:00Z,42,36.9,191.0,103.6,191.0,27.4,12.2,100,32,16,100,65,0.0
2024-09-02T18:00:00Z,43,1.2,92.0,54.9,92.0,27.5,17.2,51,35,34,0,64,0.0
2024-09-02T19:00:00Z,44,0.0,8.0,11.7,8.0,26.2,14.5,56,41,33,0,70,0.0
2024-09-02T20:00:00Z,45,0.0,0.0,0.0,0.0,25.3,12.7,70,42,47,0,70,0.0
2024-09-02T21:00:00Z,46,0.0,0.0,0.0,0.0,24.7,10.3,70,47,45,0,74,0.0
2024-09-02T22:00:00Z,47,0.0,0.0,0.0,0.0,24.0,8.4,46,36,20,0,78,0.0
2024-09-02T23:00:00Z,48,0.0,0.0,0.0,0.0,23.4,6.6,43,36,8,0,83,0.0
2024-09-03T00:00:00Z,49,0.0,0.0,0.0,0.0,22.7,4.3,65,51,29,0,88,0.0
2024-09-03T01:00:00Z,50,0.0,0.0,0.0,0.0,22.4,4.0,66,46,39,0,92,0.0
2024-09-03T02:00:00Z,51,0.0,0.0,0.0,0.0,22.1,3.7,67,51,34,0,95,0.0
2024-09-03T03:00:00Z,52,0.0,0.0,0.0,0.0,22.1,4.2,78,64,40,0,96,0.0
2024-09-03T04:00:00Z,53,0.0,0.0,0.0,0.0,22.0,3.8,81,66,34,12,97,0.0
2024-09-03T05:00:00Z,54,0.0,0.0,0.0,0.0,21.9,3.1,77,59,30,16,98,0.0
2024-09-03T06:00:00Z,55,28.0,3.0,0.0,3.0,21.8,2.1,83,53,62,0,97,0.0
2024-09-03T07:00:00Z,56,88.6,85.0,172.1,85.0,22.7,2.6,74,60,31,0,92,0.0
2024-09-03T08:00:00Z,57,175.7,207.0,261.1,207.0,24.2,5.6,75,64,19,0,82,0.0
2024-09-03T09:00:00Z,58,208.7,281.0,271.3,281.0,25.5,10.2,80,71,20,0,76,0.0
2024-09-03T10:00:00Z,59,276.8,254.0,140.1,254.0,25.2,15.9,100,88,36,99,72,0.1
2024-09-03T11:00:00Z,60,334.2,335.0,156.9,335.0,24.9,14.3,86,79,15,0,77,0.4
2024-09-03T12:00:00Z,61,356.0,681.0,480.3,681.0,28.0,13.2,100,56,0,100,65,0.0
2024-09-03T13:00:00Z,62,334.6,793.0,644.5,793.0,30.6,11.7,100,3,0,100,53,0.0
2024-09-03T14:00:00Z,63,309.2,742.0,684.5,742.0,32.0,14.0,58,20,0,44,47,0.0
2024-09-03T15:00:00Z,64,223.4,629.0,633.5,629.0,32.8,17.9,26,26,0,0,42,0.0
2024-09-03T16:00:00Z,65,130.0,354.0,355.8,354.0,27.7,33.1,82,65,36,17,65,0.0
2024-09-03T17:00:00Z,66,42.5,184.0,133.0,184.0,26.4,24.6,100,46,40,100,69,0.0
2024-09-03T18:00:00Z,67,0.9,90.0,81.8,90.0,26.1,25.9,100,80,8,100,66,0.0
2024-09-03T19:00:00Z,68,0.0,4.0,0.0,4.0,24.1,20.0,100,81,42,100,82,0.0
2024-09-03T20:00:00Z,69,0.0,0.0,0.0,0.0,23.5,16.9,90,78,26,7,85,0.2
2024-09-03T21:00:00Z,70,0.0,0.0,0.0,0.0,23.1,12.4,82,62,48,0,88,0.0
2024-09-03T22:00:00Z,71,0.0,0.0,0.0,0.0,22.8,9.3,87,72,46,0,90,0.0
2024-09-03T23:00:00Z,72,0.0,0.0,0.0,0.0,22.6,7.0,79,70,13,0,91,0.0
2024-09-04T00:00:00Z,73,0.0,0.0,0.0,0.0,22.2,5.1,84,71,33,6,90,0.0
2024-09-04T01:00:00Z,74,0.0,0.0,0.0,0.0,21.6,5.0,93,78,68,0,92,0.2
2024-09-04T02:00:00Z,75,0.0,0.0,0.0,0.0,21.4,3.6,88,77,44,8,91,0.1
2024-09-04T03:00:00Z,76,0.0,0.0,0.0,0.0,21.3,2.9,90,82,35,4,91,0.0
2024-09-04T04:00:00Z,77,0.0,0.0,0.0,0.0,21.2,2.5,84,83,6,0,92,0.1
2024-09-04T05:00:00Z,78,0.0,0.0,0.0,0.0,21.2,1.8,78,78,0,0,93,0.3
2024-09-04T06:00:00Z,79,17.5,2.0,0.0,2.0,21.4,3.3,77,77,0,0,92,0.1
2024-09-04T07:00:00Z,80,84.4,62.0,119.6,62.0,21.9,3.8,73,73,0,0,90,0.0
2024-09-04T08:00:00Z,81,173.1,202.0,251.8,202.0,23.3,4.9,63,63,0,0,84,0.0
