timestamp_utc,hour_number,quantity_sum,temperature_2m (°C),wind_speed_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),relative_humidity_2m (%),precipitation (mm),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²)
2025-01-01T00:00:00Z,1,0.0,5.8,10.4,55,48,8,8,96,0.0,0.0,0.0,0.0
2025-01-01T01:00:00Z,2,0.0,7.8,6.8,100,9,100,4,95,0.8,0.0,0.0,0.0
2025-01-01T02:00:00Z,3,0.0,7.0,7.9,69,69,14,0,94,0.1,0.0,0.0,0.0
2025-01-01T03:00:00Z,4,0.0,6.6,10.2,32,21,14,0,95,0.1,0.0,0.0,0.0
2025-01-01T04:00:00Z,5,0.0,6.1,10.3,47,46,11,0,95,0.0,0.0,0.0,0.0
2025-01-01T05:00:00Z,6,0.0,5.9,11.4,98,98,7,9,96,0.0,0.0,0.0,0.0
2025-01-01T06:00:00Z,7,0.0,6.3,10.9,98,98,16,3,96,0.0,0.0,0.0,0.0
2025-01-01T07:00:00Z,8,0.8,6.8,10.1,86,85,21,1,95,0.0,0.0,0.0,0.0
2025-01-01T08:00:00Z,9,19.6,6.8,10.5,44,42,19,1,95,0.0,9.0,23.7,9.0
2025-01-01T09:00:00Z,10,150.8,8.2,11.1,45,38,3,11,89,0.0,109.0,244.9,109.0
2025-01-01T10:00:00Z,11,92.0,9.9,9.3,37,37,5,0,78,0.0,263.0,531.2,263.0
2025-01-01T11:00:00Z,12,237.2,11.2,8.3,88,87,12,0,70,0.0,335.0,481.4,335.0
2025-01-01T12:00:00Z,13,184.0,11.8,6.2,94,94,24,0,68,0.1,280.0,201.3,280.0
2025-01-01T13:00:00Z,14,128.8,11.9,6.5,79,78,20,0,68,0.1,251.0,177.2,251.0
2025-01-01T14:00:00Z,15,150.0,11.9,7.1,98,98,28,0,68,0.0,222.0,164.1,222.0
2025-01-01T15:00:00Z,16,50.8,12.1,5.4,50,45,21,0,68,0.0,213.0,290.4,213.0
2025-01-01T16:00:00Z,17,7.2,11.6,5.9,58,54,26,0,72,0.1,138.0,330.9,138.0
2025-01-01T17:00:00Z,18,0.0,9.6,4.2,50,38,25,0,88,0.2,25.0,81.1,25.0
2025-01-01T18:00:00Z,19,0.0,9.0,6.0,28,27,11,0,92,0.0,0.0,0.0,0.0
2025-01-01T19:00:00Z,20,0.0,7.9,7.5,18,18,6,0,93,0.0,0.0,0.0,0.0
2025-01-01T20:00:00Z,21,0.0,7.4,8.1,12,9,9,0,92,0.0,0.0,0.0,0.0
2025-01-01T21:00:00Z,22,0.0,7.2,9.9,12,8,11,0,91,0.0,0.0,0.0,0.0
2025-01-01T22:00:00Z,23,0.0,6.7,10.7,4,1,2,0,92,0.0,0.0,0.0,0.0
2025-01-01T23:00:00Z,24,0.0,6.4,12.0,0,0,0,0,92,0.0,0.0,0.0,0.0
2025-01-02T00:00:00Z,25,0.0,6.2,11.3,1,1,0,0,92,0.0,0.0,0.0,0.0
2025-01-02T01:00:00Z,26,0.0,6.3,11.6,1,1,0,0,92,0.0,0.0,0.0,0.0
2025-01-02T02:00:00Z,27,0.0,6.2,11.0,0,0,0,0,92,0.0,0.0,0.0,0.0
2025-01-02T03:00:00Z,28,0.0,5.8,10.7,3,3,0,0,92,0.0,0.0,0.0,0.0
2025-01-02T04:00:00Z,29,0.0,5.3,12.2,1,1,0,0,93,0.0,0.0,0.0,0.0
2025-01-02T05:00:00Z,30,0.0,4.8,12.1,6,6,0,0,94,0.0,0.0,0.0,0.0
2025-01-02T06:00:00Z,31,0.0,4.6,12.2,13,13,0,0,95,0.0,0.0,0.0,0.0
2025-01-02T07:00:00Z,32,6.4,4.6,11.4,38,38,0,0,95,0.0,0.0,0.0,0.0
2025-01-02T08:00:00Z,33,87.6,4.9,12.7,48,48,0,0,92,0.0,13.0,47.5,13.0
2025-01-02T09:00:00Z,34,199.2,6.1,12.9,68,68,0,0,87,0.0,111.0,279.3,111.0
2025-01-02T10:00:00Z,35,286.4,8.0,11.4,7,7,0,0,78,0.0,251.0,451.3,251.0
2025-01-02T11:00:00Z,36,326.0,10.2,9.4,3,3,0,0,67,0.0,399.0,740.1,399.0
2025-01-02T12:00:00Z,37,326.8,12.2,8.1,0,0,0,0,57,0.0,479.0,849.9,479.0
2025-01-02T13:00:00Z,38,289.2,13.4,5.9,0,0,0,0,50,0.0,483.0,835.3,483.0
2025-01-02T14:00:00Z,39,218.8,14.1,6.1,0,0,0,0,46,0.0,434.0,805.9,434.0
2025-01-02T15:00:00Z,40,114.4,14.1,3.1,2,2,1,0,44,0.0,334.0,744.2,334.0
2025-01-02T16:00:00Z,41,18.4,13.1,2.3,0,0,0,0,54,0.0,192.0,615.2,192.0
2025-01-02T17:00:00Z,42,0.0,10.1,2.4,10,2,0,9,59,0.0,45.0,231.7,45.0
2025-01-02T18:00:00Z,43,0.0,9.2,2.6,10,3,1,7,62,0.0,0.0,0.0,0.0
2025-01-02T19:00:00Z,44,0.0,8.1,3.7,0,0,0,0,71,0.0,0.0,0.0,0.0
2025-01-02T20:00:00Z,45,0.0,6.6,4.0,0,0,0,0,81,0.0,0.0,0.0,0.0
2025-01-02T21:00:00Z,46,0.0,5.8,9.5,11,0,0,11,85,0.0,0.0,0.0,0.0
2025-01-02T22:00:00Z,47,0.0,6.6,10.3,3,0,0,3,77,0.0,0.0,0.0,0.0
2025-01-02T23:00:00Z,48,0.0,6.4,8.3,48,0,0,48,74,0.0,0.0,0.0,0.0
2025-01-03T00:00:00Z,49,0.0,5.7,7.4,27,0,0,27,75,0.0,0.0,0.0,0.0
2025-01-03T01:00:00Z,50,0.0,5.6,6.3,11,0,0,11,77,0.0,0.0,0.0,0.0
2025-01-03T02:00:00Z,51,0.0,4.8,8.6,0,0,0,0,79,0.0,0.0,0.0,0.0
2025-01-03T03:00:00Z,52,0.0,3.8,10.2,1,0,0,1,80,0.0,0.0,0.0,0.0
2025-01-03T04:00:00Z,53,0.0,3.3,11.4,3,0,0,3,76,0.0,0.0,0.0,0.0
2025-01-03T05:00:00Z,54,0.0,3.1,10.6,9,0,0,9,70,0.0,0.0,0.0,0.0
2025-01-03T06:00:00Z,55,0.0,2.7,10.1,3,0,0,3,68,0.0,0.0,0.0,0.0
2025-01-03T07:00:00Z,56,8.0,2.7,10.8,9,0,0,9,65,0.0,0.0,0.0,0.0
2025-01-03T08:00:00Z,57,91.2,3.5,11.8,16,0,0,16,59,0.0,16.0,95.2,16.0
2025-01-03T09:00:00Z,58,205.6,6.8,12.3,49,0,0,49,49,0.0,142.0,558.4,142.0
2025-01-03T10:00:00Z,59,290.8,9.8,9.6,68,0,0,68,41,0.0,294.0,720.5,294.0
2025-01-03T11:00:00Z,60,335.6,11.6,9.2,80,0,0,80,38,0.0,413.0,803.5,413.0
2025-01-03T12:00:00Z,61,331.2,13.6,7.0,40,0,0,40,32,0.0,477.0,809.8,477.0
2025-01-03T13:00:00Z,62,302.4,15.6,6.7,52,0,0,52,31,0.0,495.0,865.7,495.0
2025-01-03T14:00:00Z,63,230.8,16.4,6.5,30,0,0,30,28,0.0,442.0,813.7,442.0
2025-01-03T15:00:00Z,64,95.6,16.4,2.8,8,0,0,8,28,0.0,338.0,742.3,338.0
