timestamp_utc,hour_number,quantity_sum,temperature_2m (°C),wind_speed_10m (km/h),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),relative_humidity_2m (%),precipitation (mm),shortwave_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²)
2025-01-01T00:00:00Z,1,0.0,-3.9,2.9,1,1,0,0,96,0.0,0.0,0.0,0.0
2025-01-01T01:00:00Z,2,0.0,-1.3,7.1,100,100,0,0,96,0.0,0.0,0.0,0.0
2025-01-01T02:00:00Z,3,0.0,-1.4,7.8,100,100,0,0,97,0.0,0.0,0.0,0.0
2025-01-01T03:00:00Z,4,0.0,-1.4,6.4,100,100,0,0,98,0.0,0.0,0.0,0.0
2025-01-01T04:00:00Z,5,0.0,-1.5,5.3,100,100,0,0,99,0.0,0.0,0.0,0.0
2025-01-01T05:00:00Z,6,0.0,-1.6,5.0,100,100,0,0,99,0.0,0.0,0.0,0.0
2025-01-01T06:00:00Z,7,0.0,-1.6,4.8,100,100,0,0,99,0.0,0.0,0.0,0.0
2025-01-01T07:00:00Z,8,0.0,-1.6,4.1,100,100,0,0,99,0.0,0.0,0.0,0.0
2025-01-01T08:00:00Z,9,1.6,-1.5,3.2,100,100,0,0,99,0.0,0.0,0.0,0.0
2025-01-01T09:00:00Z,10,5.2,-1.3,3.3,100,100,0,0,99,0.0,19.0,8.2,19.0
2025-01-01T10:00:00Z,11,8.4,-0.9,3.2,100,100,0,0,97,0.0,73.0,0.0,73.0
2025-01-01T11:00:00Z,12,14.0,0.0,3.3,100,100,0,0,91,0.0,116.0,32.1,116.0
2025-01-01T12:00:00Z,13,17.2,1.4,2.4,100,100,0,0,83,0.0,199.0,112.6,199.0
2025-01-01T13:00:00Z,14,16.0,-0.2,4.2,100,100,0,6,80,0.0,225.0,118.8,225.0
2025-01-01T14:00:00Z,15,10.4,0.8,2.7,86,85,0,10,76,0.0,257.0,133.9,257.0
2025-01-01T15:00:00Z,16,6.0,1.6,3.0,47,3,0,45,71,0.0,304.0,644.3,304.0
2025-01-01T16:00:00Z,17,1.6,1.4,3.0,73,1,0,72,73,0.0,194.0,652.0,194.0
2025-01-01T17:00:00Z,18,0.0,-0.8,0.7,10,0,0,10,81,0.0,53.0,281.3,53.0
2025-01-01T18:00:00Z,19,0.0,-1.5,0.8,73,0,0,73,84,0.0,0.0,0.0,0.0
2025-01-01T19:00:00Z,20,0.0,-1.8,0.6,0,0,0,0,86,0.0,0.0,0.0,0.0
2025-01-01T20:00:00Z,21,0.0,-2.8,2.8,29,0,0,29,91,0.0,0.0,0.0,0.0
2025-01-01T21:00:00Z,22,0.0,-3.4,2.3,45,0,4,43,93,0.0,0.0,0.0,0.0
2025-01-01T22:00:00Z,23,0.0,-3.7,3.0,0,0,0,0,94,0.0,0.0,0.0,0.0
2025-01-01T23:00:00Z,24,0.0,-3.5,1.1,6,0,0,6,93,0.0,0.0,0.0,0.0
2025-01-02T00:00:00Z,25,0.0,-3.5,0.8,32,0,0,32,93,0.0,0.0,0.0,0.0
2025-01-02T01:00:00Z,26,0.0,-3.0,1.0,62,0,4,61,96,0.0,0.0,0.0,0.0
2025-01-02T02:00:00Z,27,0.0,-3.0,0.7,100,3,42,100,97,0.0,0.0,0.0,0.0
2025-01-02T03:00:00Z,28,0.0,-2.5,0.3,23,4,4,17,95,0.0,0.0,0.0,0.0
2025-01-02T04:00:00Z,29,0.0,-3.0,2.3,5,4,1,0,96,0.0,0.0,0.0,0.0
2025-01-02T05:00:00Z,30,0.0,-2.5,1.3,27,2,16,12,95,0.0,0.0,0.0,0.0
2025-01-02T06:00:00Z,31,0.0,-2.3,1.3,84,18,51,59,94,0.0,0.0,0.0,0.0
2025-01-02T07:00:00Z,32,0.0,-1.4,1.5,100,32,7,100,92,0.0,0.0,0.0,0.0
2025-01-02T08:00:00Z,33,4.0,-1.1,1.3,98,26,0,97,92,0.0,0.0,0.0,0.0
2025-01-02T09:00:00Z,34,12.8,1.0,3.5,97,5,2,96,88,0.0,59.0,196.6,59.0
2025-01-02T10:00:00Z,35,25.6,3.8,3.7,97,0,0,97,79,0.0,197.0,582.0,197.0
2025-01-02T11:00:00Z,36,38.0,6.2,6.1,97,0,0,97,73,0.0,313.0,679.5,313.0
2025-01-02T12:00:00Z,37,46.0,7.9,10.0,98,0,0,98,70,0.0,399.0,793.7,399.0
2025-01-02T13:00:00Z,38,53.2,8.9,10.5,99,0,0,99,62,0.0,403.0,673.3,403.0
2025-01-02T14:00:00Z,39,52.4,9.6,13.2,94,0,3,93,55,0.0,374.0,669.1,374.0
2025-01-02T15:00:00Z,40,17.2,9.4,11.7,83,0,1,83,56,0.0,307.0,694.1,307.0
2025-01-02T16:00:00Z,41,6.4,7.2,7.0,92,0,5,91,64,0.0,185.0,578.1,185.0
2025-01-02T17:00:00Z,42,0.0,3.3,7.9,100,0,28,100,80,0.0,52.0,252.2,52.0
2025-01-02T18:00:00Z,43,0.0,1.5,7.5,89,0,0,89,86,0.0,0.0,0.0,0.0
2025-01-02T19:00:00Z,44,0.0,0.3,7.0,99,0,71,97,89,0.0,0.0,0.0,0.0
2025-01-02T20:00:00Z,45,0.0,0.4,6.7,75,0,21,68,90,0.0,0.0,0.0,0.0
2025-01-02T21:00:00Z,46,0.0,0.6,7.8,35,0,7,30,91,0.0,0.0,0.0,0.0
2025-01-02T22:00:00Z,47,0.0,0.9,8.4,7,0,2,5,91,0.0,0.0,0.0,0.0
2025-01-02T23:00:00Z,48,0.0,0.6,8.1,87,0,72,52,91,0.0,0.0,0.0,0.0
2025-01-03T00:00:00Z,49,0.0,1.5,8.5,98,0,32,97,91,0.0,0.0,0.0,0.0
2025-01-03T01:00:00Z,50,0.0,2.6,10.0,96,0,37,93,90,0.0,0.0,0.0,0.0
2025-01-03T02:00:00Z,51,0.0,2.3,11.7,99,0,80,96,91,0.0,0.0,0.0,0.0
2025-01-03T03:00:00Z,52,0.0,2.9,14.0,99,0,90,90,90,0.0,0.0,0.0,0.0
2025-01-03T04:00:00Z,53,0.0,4.0,13.3,89,0,50,79,86,0.0,0.0,0.0,0.0
2025-01-03T05:00:00Z,54,0.0,3.2,11.9,98,3,87,86,89,0.0,0.0,0.0,0.0
2025-01-03T06:00:00Z,55,0.0,4.0,10.7,100,2,100,97,86,0.0,0.0,0.0,0.0
2025-01-03T07:00:00Z,56,0.0,4.7,13.1,100,2,100,89,85,0.0,0.0,0.0,0.0
2025-01-03T08:00:00Z,57,5.2,5.1,14.2,100,13,99,90,85,0.0,0.0,0.0,0.0
2025-01-03T09:00:00Z,58,10.4,5.8,15.2,100,4,100,100,85,0.0,31.0,16.4,31.0
2025-01-03T10:00:00Z,59,16.4,6.9,15.2,100,9,100,100,82,0.0,72.0,8.5,72.0
2025-01-03T11:00:00Z,60,18.4,8.2,13.7,100,45,99,100,77,0.0,94.0,0.0,94.0
2025-01-03T12:00:00Z,61,22.4,8.9,12.5,100,100,99,100,75,0.0,120.0,17.0,120.0
2025-01-03T13:00:00Z,62,20.8,9.8,21.7,100,63,100,100,76,0.1,208.0,20.8,208.0
2025-01-03T14:00:00Z,63,17.2,9.7,15.2,100,73,100,100,81,0.2,134.0,4.9,134.0
2025-01-03T15:00:00Z,64,15.6,9.3,12.0,100,93,95,100,82,0.0,52.0,0.0,52.0
2025-01-03T16:00:00Z,65,4.0,9.7,13.1,100,67,94,100,80,0.0,62.0,0.0,62.0
2025-01-03T17:00:00Z,66,0.0,9.0,12.5,100,36,98,99,82,0.0,19.0,0.0,19.0
2025-01-03T18:00:00Z,67,0.0,8.1,11.7,94,8,90,33,86,0.0,0.0,0.0,0.0
2025-01-03T19:00:00Z,68,0.0,7.3,11.0,74,4,47,48,91,0.0,0.0,0.0,0.0
2025-01-03T20:00:00Z,69,0.0,6.5,10.7,97,8,29,96,93,0.0,0.0,0.0,0.0
2025-01-03T21:00:00Z,70,0.0,6.1,12.0,100,25,24,99,94,0.0,0.0,0.0,0.0
2025-01-03T22:00:00Z,71,0.0,6.1,13.1,100,26,80,100,94,0.0,0.0,0.0,0.0
2025-01-03T23:00:00Z,72,0.0,6.2,12.9,100,26,67,100,94,0.0,0.0,0.0,0.0
